# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 1.000000e+00
# lRef       : 1.000000e+00
# Aref       : 5.000000e-01
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
0.04         	-1.509274e+00	1.729946e+01	2.267245e-01	-1.395912e+00	1.622636e+00
0.08         	-6.272964e-01	7.791046e+00	1.237816e+00	-8.388481e-03	1.246204e+00
0.12         	-9.619117e-02	3.349226e+00	2.165443e+00	9.865301e-01	1.178912e+00
0.16         	5.728733e-01	-6.800089e-01	3.737254e+00	2.441500e+00	1.295754e+00
0.2          	1.555583e+00	-5.744071e+00	6.510559e+00	4.810862e+00	1.699697e+00
0.24         	3.125909e+00	-1.301470e+01	1.106133e+01	8.656574e+00	2.404755e+00
0.28         	5.712789e+00	-2.378218e+01	1.912081e+01	1.527319e+01	3.847614e+00
0.32         	9.495145e+00	-3.874753e+01	3.330326e+01	2.614677e+01	7.156484e+00
0.36         	1.262339e+01	-5.180609e+01	5.683900e+01	4.104289e+01	1.579611e+01
0.4          	1.021084e+01	-4.245531e+01	9.188722e+01	5.615445e+01	3.573277e+01
0.44         	1.250977e+01	-2.637853e+01	7.421572e+01	4.961763e+01	2.459809e+01
0.48         	1.026397e+01	1.725449e+01	8.598270e+01	5.325532e+01	3.272738e+01
0.52         	8.130992e+00	2.304943e+01	8.221094e+01	4.923646e+01	3.297448e+01
0.56         	-1.082837e+01	1.532101e+01	1.342596e+02	5.630142e+01	7.795816e+01
0.6          	-1.825649e+01	-6.914436e+00	1.798597e+02	7.167336e+01	1.081863e+02
0.64         	-3.050330e+01	-1.939774e+01	2.108151e+02	7.490424e+01	1.359108e+02
0.68         	-3.892192e+01	-2.869182e+01	2.180858e+02	7.012097e+01	1.479648e+02
0.72         	-3.692930e+01	-3.286451e+01	2.183376e+02	7.223950e+01	1.460981e+02
0.76         	-2.425671e+01	-2.909684e+01	2.099849e+02	8.073574e+01	1.292492e+02
0.8          	-1.481664e+01	-3.577166e+01	2.091783e+02	8.977249e+01	1.194058e+02
0.84         	-9.898239e+00	-3.616386e+01	2.153850e+02	9.779424e+01	1.175907e+02
0.88         	-5.043363e+00	-3.753612e+01	2.179757e+02	1.039445e+02	1.140312e+02
0.92         	1.493012e+00	-3.688357e+01	2.134479e+02	1.082169e+02	1.052309e+02
0.96         	5.799467e+00	-3.551904e+01	2.098749e+02	1.107369e+02	9.913796e+01
1            	6.515230e+00	-3.513479e+01	2.111094e+02	1.120700e+02	9.903949e+01
1.04         	7.076803e+00	-3.303619e+01	2.146973e+02	1.144255e+02	1.002719e+02
1.08         	1.083717e+01	-2.897821e+01	2.157032e+02	1.186888e+02	9.701441e+01
1.12         	1.643544e+01	-2.554766e+01	2.123999e+02	1.226354e+02	8.976452e+01
1.16         	2.039396e+01	-2.510628e+01	2.098238e+02	1.253059e+02	8.451794e+01
1.2          	2.116074e+01	-2.627983e+01	2.060431e+02	1.241823e+02	8.186081e+01
1.24         	1.909287e+01	-2.533637e+01	2.018857e+02	1.200357e+02	8.184997e+01
1.28         	1.510755e+01	-2.064825e+01	2.010943e+02	1.156547e+02	8.543961e+01
1.32         	9.980866e+00	-1.463475e+01	2.035779e+02	1.117698e+02	9.180806e+01
1.36         	6.175691e+00	-1.082411e+01	2.078952e+02	1.101233e+02	9.777190e+01
1.4          	4.473628e+00	-9.519067e+00	2.129019e+02	1.109246e+02	1.019773e+02
1.44         	3.299588e+00	-9.413934e+00	2.174971e+02	1.120481e+02	1.054490e+02
1.48         	1.519791e+00	-9.567809e+00	2.197746e+02	1.114071e+02	1.083675e+02
1.52         	-1.272503e+00	-1.071084e+01	2.209014e+02	1.091782e+02	1.117232e+02
1.56         	-4.857992e+00	-1.336233e+01	2.216162e+02	1.059501e+02	1.156661e+02
1.6          	-8.669071e+00	-1.679830e+01	2.217880e+02	1.022250e+02	1.195631e+02
1.64         	-1.248546e+01	-2.029779e+01	2.206691e+02	9.784908e+01	1.228200e+02
1.68         	-1.667133e+01	-2.375230e+01	2.179050e+02	9.228115e+01	1.256238e+02
1.72         	-2.207597e+01	-2.778164e+01	2.140093e+02	8.492869e+01	1.290806e+02
1.76         	-2.921600e+01	-3.246023e+01	2.082461e+02	7.490707e+01	1.333391e+02
1.8          	-3.700848e+01	-3.624258e+01	2.022535e+02	6.411827e+01	1.381352e+02
1.84         	-4.290296e+01	-3.897607e+01	1.980634e+02	5.612873e+01	1.419346e+02
1.88         	-4.360515e+01	-4.253793e+01	1.941851e+02	5.348741e+01	1.406977e+02
1.92         	-3.842635e+01	-4.698628e+01	1.906382e+02	5.689277e+01	1.337455e+02
1.96         	-3.037870e+01	-5.154189e+01	1.845389e+02	6.189074e+01	1.226482e+02
2            	-2.343882e+01	-5.517566e+01	1.737308e+02	6.342660e+01	1.103042e+02
2.04         	-1.978690e+01	-5.708238e+01	1.686445e+02	6.453534e+01	1.041091e+02
2.08         	-1.658633e+01	-5.760723e+01	1.691637e+02	6.799553e+01	1.011682e+02
2.12         	-1.108936e+01	-5.869917e+01	1.699316e+02	7.387646e+01	9.605517e+01
2.16         	-5.209453e+00	-6.058264e+01	1.682649e+02	7.892298e+01	8.934188e+01
2.2          	-1.744773e+00	-6.046742e+01	1.600059e+02	7.825816e+01	8.174770e+01
2.24         	-1.853802e+00	-5.734306e+01	1.466651e+02	7.147872e+01	7.518633e+01
2.28         	-4.047983e+00	-5.308397e+01	1.362535e+02	6.407879e+01	7.217476e+01
2.32         	-5.228978e+00	-5.057090e+01	1.322496e+02	6.089580e+01	7.135376e+01
2.36         	-4.367257e+00	-4.940157e+01	1.302617e+02	6.076358e+01	6.949809e+01
2.4          	-3.108578e+00	-4.824989e+01	1.265202e+02	6.015150e+01	6.636866e+01
2.44         	-2.728942e+00	-4.665421e+01	1.222558e+02	5.839898e+01	6.385687e+01
2.48         	-2.703798e+00	-4.513715e+01	1.185753e+02	5.658385e+01	6.199145e+01
2.52         	-2.489357e+00	-4.393846e+01	1.156534e+02	5.533732e+01	6.031604e+01
2.56         	-2.200355e+00	-4.317032e+01	1.133288e+02	5.446406e+01	5.886477e+01
2.6          	-2.078038e+00	-4.300328e+01	1.117279e+02	5.378590e+01	5.794198e+01
2.64         	-2.094123e+00	-4.323274e+01	1.105794e+02	5.319559e+01	5.738384e+01
2.68         	-2.172939e+00	-4.350344e+01	1.094174e+02	5.253576e+01	5.688163e+01
2.72         	-2.331434e+00	-4.372090e+01	1.083153e+02	5.182620e+01	5.648907e+01
2.76         	-2.605724e+00	-4.404106e+01	1.075158e+02	5.115216e+01	5.636361e+01
2.8          	-2.910657e+00	-4.437230e+01	1.069191e+02	5.054891e+01	5.637023e+01
2.84         	-3.174509e+00	-4.465854e+01	1.063153e+02	4.998316e+01	5.633218e+01
2.88         	-3.438023e+00	-4.489274e+01	1.057368e+02	4.943037e+01	5.630641e+01
2.92         	-3.765489e+00	-4.516858e+01	1.052712e+02	4.887012e+01	5.640110e+01
2.96         	-4.138417e+00	-4.549458e+01	1.049205e+02	4.832183e+01	5.659866e+01
3            	-4.504503e+00	-4.581279e+01	1.046293e+02	4.781015e+01	5.681915e+01
3.04         	-4.840168e+00	-4.611296e+01	1.044060e+02	4.736283e+01	5.704317e+01
3.08         	-5.174357e+00	-4.641909e+01	1.042255e+02	4.693839e+01	5.728710e+01
3.12         	-5.525415e+00	-4.676323e+01	1.040593e+02	4.650422e+01	5.755506e+01
3.16         	-5.864032e+00	-4.711120e+01	1.039365e+02	4.610422e+01	5.783228e+01
3.2          	-6.168639e+00	-4.744931e+01	1.038572e+02	4.575997e+01	5.809725e+01
3.24         	-6.456334e+00	-4.776332e+01	1.038364e+02	4.546188e+01	5.837454e+01
3.28         	-6.743273e+00	-4.806804e+01	1.038575e+02	4.518546e+01	5.867200e+01
3.32         	-7.025104e+00	-4.842022e+01	1.039393e+02	4.494456e+01	5.899477e+01
3.36         	-7.298576e+00	-4.874040e+01	1.040915e+02	4.474717e+01	5.934432e+01
3.4          	-7.563954e+00	-4.905337e+01	1.042818e+02	4.457694e+01	5.970485e+01
3.44         	-7.817423e+00	-4.939144e+01	1.044322e+02	4.439868e+01	6.003353e+01
3.48         	-8.045742e+00	-4.975052e+01	1.046805e+02	4.429450e+01	6.038599e+01
3.52         	-8.228921e+00	-5.011813e+01	1.049045e+02	4.422334e+01	6.068119e+01
3.56         	-8.316270e+00	-5.051466e+01	1.050698e+02	4.421861e+01	6.085115e+01
3.6          	-8.337480e+00	-5.096830e+01	1.052237e+02	4.427437e+01	6.094933e+01
3.64         	-8.324728e+00	-5.142068e+01	1.054325e+02	4.439153e+01	6.104099e+01
3.68         	-8.266187e+00	-5.183714e+01	1.056503e+02	4.455894e+01	6.109131e+01
3.72         	-8.141063e+00	-5.221364e+01	1.058141e+02	4.476597e+01	6.104809e+01
3.76         	-7.944182e+00	-5.258583e+01	1.059166e+02	4.501414e+01	6.090250e+01
3.8          	-7.672238e+00	-5.295463e+01	1.059731e+02	4.531433e+01	6.065881e+01
3.84         	-7.315286e+00	-5.330617e+01	1.059531e+02	4.566128e+01	6.029185e+01
3.88         	-6.888489e+00	-5.359565e+01	1.058484e+02	4.603572e+01	5.981270e+01
3.92         	-6.417287e+00	-5.387552e+01	1.056903e+02	4.642784e+01	5.926242e+01
3.96         	-5.918213e+00	-5.411004e+01	1.054341e+02	4.679883e+01	5.863526e+01
4            	-5.386170e+00	-5.428572e+01	1.051077e+02	4.716766e+01	5.794000e+01
4.04         	-4.824420e+00	-5.442124e+01	1.046881e+02	4.751961e+01	5.716845e+01
4.08         	-4.258249e+00	-5.456977e+01	1.041240e+02	4.780377e+01	5.632027e+01
4.12         	-3.720524e+00	-5.470376e+01	1.033977e+02	4.797834e+01	5.541938e+01
4.16         	-3.239348e+00	-5.474771e+01	1.025789e+02	4.805008e+01	5.452878e+01
4.2          	-2.809401e+00	-5.475584e+01	1.016757e+02	4.802846e+01	5.364726e+01
4.24         	-2.448178e+00	-5.475133e+01	1.007923e+02	4.794795e+01	5.284431e+01
